;id;distance;up;down;min;max
309;2498;3.44 km;557 m;21 m;1'396 m;1'934 m
310;2499;4.54 km;610 m;6 m;906 m;1'510 m
311;250;8.95 km;550 m;441 m;2'176 m;2'695 m
312;2500;7.89 km;769 m;361 m;1'468 m;2'132 m
313;2501;3.46 km;559 m;22 m;1'395 m;1'934 m
314;2502;3.14 km;600 m;0 m;1'008 m;1'608 m
315;251;3.02 km;496 m;19 m;2'349 m;2'826 m
316;2519;0.06 km;0 m;6 m;3'136 m;3'142 m
317;252;4.77 km;269 m;37 m;1'673 m;1'910 m
318;2520;7.26 km;916 m;806 m;1'639 m;2'547 m
319;253;5.94 km;594 m;51 m;1'673 m;2'229 m
320;2538;5.86 km;1'240 m;18 m;1'181 m;2'402 m
321;2539;4.13 km;792 m;86 m;1'633 m;2'339 m
322;254;3.14 km;100 m;21 m;1'673 m;1'754 m
323;2540;5.97 km;1'115 m;18 m;1'311 m;2'407 m
324;255;2.68 km;591 m;24 m;1'399 m;1'977 m
325;2550;3.15 km;245 m;211 m;2'860 m;3'055 m
326;2551;1.99 km;399 m;3 m;2'458 m;2'854 m
327;2552;9 km;519 m;24 m;1'331 m;1'827 m
328;2555;6.93 km;1'286 m;51 m;1'652 m;2'893 m
329;2556;4.25 km;1'149 m;15 m;1'594 m;2'741 m
330;256;7.73 km;828 m;134 m;1'818 m;2'521 m
331;258;7.90 km;1'602 m;57 m;1'117 m;2'673 m
332;2586;4.03 km;969 m;21 m;702 m;1'656 m
333;2587;3.56 km;1'023 m;3 m;476 m;1'499 m
334;259;4.07 km;983 m;14 m;1'399 m;2'377 m
335;260;4.01 km;712 m;33 m;2'570 m;3'261 m
336;261;8.42 km;1'428 m;21 m;1'854 m;3'261 m
337;262;8.18 km;895 m;126 m;1'799 m;2'568 m
338;263;11.85 km;1'565 m;138 m;1'137 m;2'568 m
339;264;16.85 km;1'272 m;795 m;1'625 m;2'568 m
340;2644;10.18 km;1'693 m;113 m;1'672 m;3'252 m
341;265;9.76 km;742 m;90 m;1'911 m;2'568 m
342;2657;0.48 km;2 m;102 m;2'065 m;2'167 m
343;266;5.14 km;371 m;92 m;1'981 m;2'313 m
344;267;2.26 km;370 m;2 m;1'613 m;1'983 m
345;2679;7.48 km;1'360 m;25 m;1'969 m;3'304 m
346;268;7.11 km;636 m;18 m;1'537 m;2'155 m
347;269;2.85 km;324 m;20 m;2'421 m;2'732 m
348;2691;5.36 km;980 m;12 m;1'031 m;2'002 m
349;2692;4.44 km;666 m;185 m;2'004 m;2'485 m
350;27;7.62 km;877 m;314 m;1'607 m;2'172 m
351;270;10.01 km;1'096 m;492 m;1'969 m;2'753 m
352;2706;5.90 km;1'300 m;8 m;957 m;2'251 m
353;271;3.31 km;449 m;15 m;2'106 m;2'540 m
354;272;6.29 km;1'015 m;13 m;1'537 m;2'539 m
355;273;6.72 km;865 m;209 m;1'782 m;2'439 m
356;274;5.43 km;766 m;111 m;1'783 m;2'438 m
357;275;7.28 km;754 m;188 m;1'782 m;2'348 m
358;277;2.90 km;526 m;119 m;1'357 m;1'764 m
359;278;2.13 km;534 m;30 m;1'357 m;1'886 m
360;2817;4.36 km;734 m;44 m;1'409 m;2'100 m
361;2818;2.56 km;180 m;33 m;1'960 m;2'124 m
362;282;5.89 km;740 m;16 m;1'402 m;2'127 m
363;2828;0.43 km;134 m;0 m;2'833 m;2'967 m
364;283;3.33 km;593 m;7 m;1'784 m;2'371 m
365;2833;3.22 km;278 m;172 m;1'596 m;1'792 m
