tour_id;start;end
40608;"46.48361252839145;7.74202753781917";"46.50610852849758;7.733034538070602"
3167;"46.55005753819122;7.755480787186082";"46.5101826642446;7.77164588789955"
3169;"46.49518176264326;7.671453474216897";"46.502674610633974;7.730042591971781"
378;"46.87895152316841;8.979894534834145";"46.839558625422015;8.956543275830086"
40627;"46.85940619867242;8.935621329370086";"46.82129890966421;8.950146866070899"
3026;"46.8790572636642;8.97975527421245";"46.82144772891564;8.950096812877705"
6941;"46.391003478202315;8.487077309822306";"46.399797673925995;8.469207520114427"
274;"46.64915752500432;8.499118535379544";"46.64480152520284;8.457768535560758"
273;"46.64910452500332;8.499286535378172";"46.64481352520265;8.45780753556066"
40611;"46.67176052536587;8.440027535904687";"46.65947673973104;8.452773707288719"
3882;na;na
242;"46.86078351829864;9.92301352930747";"46.860827515461985;10.011050813043129"
40614;"46.873965263589554;10.009202273891853";"46.85458304511585;10.041251130633515"
3078;"46.86090595941681;9.922364405274326";"46.8545422266363;10.041496927746346"
218;"46.860797518298895;9.92297152930782";"46.860855762365645;10.011003520634826"
1222;"46.88335001915536;9.875900019576802";"46.91154501915777;9.90103901960183"
40613;"46.868833150227935;9.964892414502751";"46.8739482846575;10.009209182404284"
2149;"46.11234252261171;8.680939529647986";"46.12232552270869;8.667163529808175"
40589;"46.127437796535624;8.682996445566369";"46.122313325138606;8.667177087214565"
6756;"47.107410019872326;9.00527001784144";"47.112729939508775;9.029010260824306"
40612;"46.255610020159466;7.0899800143129";"46.20577006151564;7.070649996151848"
40126;"46.18156019362562;7.436470097557868";"46.15455984528915;7.495139386074697"
282;"46.661506524872514;8.531629535316997";"46.69053552517421;8.487837535812897"
899;"46.65748952509954;8.484859535530715";"46.664239321783;8.491135158670005"
40610;"46.6764453837886;8.551872595964733";"46.690507365280695;8.48780946996578"
1293;"46.72923652548815;8.446829536381752";"46.690478525174214;8.487801535812563"
3053;"46.66579525772936;8.588463178406668";"46.69055200431297;8.487633039930845"
32589;"46.30017463509364;8.952876789316804";"46.303705753612654;8.939051910104794"
6269;"46.21700075115448;7.8167934743837835";"46.211833450977196;7.7782034943507306"
143;"46.793178516272285;10.286016526576828";"46.78638564302122;10.308940717379706"
147;"46.715518515827995;10.334687525614614";"46.73121574698191;10.357876594367607"
3309;"46.79462916121569;10.29631219972484";"46.76557817157988;10.334578981871593"
6268;"46.08221226892534;7.975533578328544";"46.081110314190674;7.985829421652724"
6822;"46.60453021521974;8.934273287072886";"46.59780902942995;8.916617971829766"
